product_name,price,product_sold,reviews,reviews_rating,image_link,product_link
For Itel 2160 Unlocked 1.77 Inch Cell Phone 2G Cheap Small Size Dual Sim Gsm Keypad Mobile Phones Old Simple Classic Telefone,"PKR 1,379-1,724",71 sold,nan,4.7/5.0,https://s.alicdn.com/@sc04/kf/Aad0a5b1595fb460d838050e205d6528ac.jpg_300x300.jpg,https://www.alibaba.com/product-detail/For-Itel-2160-Unlocked-1-77_11000029025915.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
4G Wholesale 2.4 Inch Big Button Sos LTE Mobile Phones Low Price Elderly Cell Phone Senior Cell Mobile Feature Phone,"PKR 5,328-5,484",nan,nan,4.8/5.0,https://s.alicdn.com/@sc04/kf/A81e007a1a09648e4af7712f1f63854b86.jpg_300x300.jpg,https://www.alibaba.com/product-detail/4G-Wholesale-2-4-Inch-Big_10000023927418.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Phone Mobile Android Smartphone Unlocked 4g Dual Sim Cellphone Android Smartphone Phone Best Telephone High End Smartphone Neuf,"PKR 24,443-25,070",2 sold,nan,4.7/5.0,https://s.alicdn.com/@sc04/kf/H9e24d427ee964d7198cfacd2d01f4b65f.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Phone-Mobile-Android-Smartphone-Unlocked-4g_1600444313336.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Industrial Waterproof Mobile Phones 4G WIFI GPS NFC 1D 2D Barcode Scanner Android Handheld PDA,"PKR 65,495-78,030",nan,nan,4.9/5.0,https://s.alicdn.com/@sc04/kf/H92da9f127f0746959e28b2f9cc7c4849f.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Industrial-Waterproof-Mobile-Phones-4G-WIFI_1600448146032.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Smartphones Mobile Phones for Huawei 7.3Inch 5G Cellphones OEM 16+512GB Dual SIM Android Smart,"PKR 17,236",2 sold,nan,3.3/5.0,https://s.alicdn.com/@sc04/kf/H7e1d1d54fb294d49be7518cfc7a451ed0.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Smartphones-Mobile-Phones-for-Huawei-7_1600523498244.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Rugged Pda 5.5Inch Smart Phone Android Ip67 Nfc Gps 4g Lte Rugged Mobile With Barcode Scanner,"PKR 67,688-109,680",nan,nan,3.3/5.0,https://s.alicdn.com/@sc04/kf/H341e7e51b9214738ae6dce56fb27a25bg.png_300x300.png,https://www.alibaba.com/product-detail/Rugged-Pda-5-5Inch-Smart-Phone_1600627291885.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Wholesale Y6 PRIME 2018 2+32GB Dual Card 4G LTE Telfono Cheap Smart Phone Cell Phones Mobile Phone,"PKR 5,955-6,581",29 sold,nan,4.5/5.0,https://s.alicdn.com/@sc04/kf/Hdea657b64b144cd9bed7cdb003b10561w.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Y6-PRIME-2018-2-32GB_1600784844662.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Brand New Mobile Phone Newest 2023 Low Price Mobile Android Phone 3g OEM Smartphone,"PKR 6,111-7,991",nan,nan,4.1/5.0,https://s.alicdn.com/@sc04/kf/H32b5a7cdf5ef44a4bd0a8779d970dfea9.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Brand-New-Mobile-Phone-Newest-2023_1600930005639.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Rugged Smart Phone Call Industrial PDA Handheld 5.5 Inch 4G Lte NFC LF HF UHF RFID QR Code 2D GPS Waterproof,"PKR 90,564-114,381",nan,nan,5.0/5.0,https://s.alicdn.com/@sc04/kf/H353e305468a64ab4a7d3e48669642641u.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Rugged-Smart-Phone-Call-Industrial-PDA_1600930053570.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
Wholesale Hotsale Smartphone Low Price A+ Mobile Phone,"PKR 72,076-79,910",11 sold,nan,4.9/5.0,https://s.alicdn.com/@sc04/kf/Hfc8603ba316a4e5e903fb9cb5e55e0cfx.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Hotsale-Smartphone-Low-Price-A_1600999209235.html?priceId=ad54704c10f14e5f8688b7a35f5cd846
